Time,Signal_1,Signal_2,Signal_3
0,0,0,0
5e-05,-1.79192460406327e-06,-1.79192460406327e-06,3.58384920812653e-06
0.0001,1.75923067706439e-13,1.82442048195756e-13,-3.51846146843884e-13
0.00015,2.91577218013862e-05,-5.83154430811982e-05,2.91577212002558e-05
0.0002,-1.83535339058286e-12,3.97660494620195e-12,-2.30404163837691e-12
0.00025,0.000127969989738982,-0.000255939979595252,0.000127969989507106
0.0003,-1.13655030285637e-11,2.35101441470281e-11,-1.17967226162637e-11
0.00035,0.000326201315713977,-0.000652402636360969,0.000326201319756955
0.0004,-4.17942494564294e-11,7.63917027569015e-11,-3.63719517702779e-11
0.00045,0.000655709710244447,-0.00131141943111625,0.000655709719082704
0.0005,-9.37481327853387e-11,1.88585049515257e-10,-9.30521978972049e-11
0.00055,0.00114754955254166,-0.00229509912733913,0.0011475495716664
0.0006,-2.10081573740801e-10,3.89921120136775e-10,-1.8608973722069e-10
0.00065,0.00183243171011687,-0.00366486345618906,0.00183243174107241
0.0007,-3.55927167972851e-10,7.13645455849945e-10,-3.52726153758066e-10
0.00075,0.00274059641928121,-0.00548119286277137,0.00274059643601246
0.0008,-6.30713518970698e-10,1.21806169006808e-09,-6.0228501956042e-10
0.00085,0.00390169420533058,-0.00780338844541989,0.00390169422944361
0.0009,-9.5414459327876e-10,1.91132271243304e-09,-9.46543316918203e-10
0.00095,0.00534466900397479,-0.0106893380558181,0.00534466903726049
0.001,-1.49750391311292e-09,2.90975071314922e-09,-1.44138728150355e-09
0.00105,0.00709764355345074,-0.0141952871706954,0.00709764359787884
0.0011,-2.08962637276924e-09,4.18421044019934e-09,-2.07523250832748e-09
0.00115,0.00918780758328348,-0.0183756151240046,0.00918780754072116
0.0012,-2.96458679496457e-09,5.90735110950794e-09,-2.96781703346593e-09
0.00125,0.0116413087174131,-0.0232826173810798,0.0116413086636668
0.0013,-4.00567958991906e-09,8.01905642039901e-09,-3.9816313073475e-09
0.00135,0.0144831472675157,-0.028966294626398,0.0144831472403314
0.0014,-5.471375413356e-09,1.07499651130518e-08,-5.43658015712069e-09
0.00145,0.0177370745263334,-0.0354741491647123,0.0177370744931932
0.0015,-6.98411403508438e-09,1.39796038089904e-08,-6.94711536621369e-09
0.00155,0.021425494611639,-0.0428509893587627,0.0214254946886651
0.0016,-9.15908674947726e-09,1.8032627745681e-08,-8.9904132770142e-09
0.00165,0.0255693712495245,-0.0511387426608672,0.0255693713415776
0.0017,-1.13410367764385e-08,2.26981784851068e-08,-1.12874004246999e-08
0.00175,0.0301881388370462,-0.0603762778652613,0.0301881386987441
0.0018,-1.43834134153476e-08,2.83641970011031e-08,-1.43924909902224e-08
0.00185,0.0352996182900041,-0.0705992368036576,0.0352996181283968
0.0019,-1.74220759812979e-08,3.48661353922647e-08,-1.73477720684541e-08
0.00195,0.0409199379197097,-0.0818398768803285,0.0409199382907238
0.002,-2.18841041720413e-08,4.24408445652267e-08,-2.13380768584968e-08
0.00205,0.0470634610345211,-0.094126923266327,0.0470634614613361
0.0021,-2.55970962066009e-08,5.12232844385862e-08,-2.54978061737172e-08
0.00215,0.0537427158336469,-0.107485433474499,0.053742716321129
0.0022,-3.17020791155282e-08,6.12207642682543e-08,-3.09847128741325e-08
0.00225,0.0609683353047096,-0.121936672659688,0.0609683358578208
0.0023,-3.62544725703388e-08,7.25464407000578e-08,-3.61256494661955e-08
0.00235,0.0687489996582484,-0.137498000878178,0.0687489997192885
0.0024,-4.36856945455032e-08,8.5328244832757e-08,-4.333044304082e-08
0.00245,0.0770913856109964,-0.154182772973255,0.0770913856795221
0.0025,-4.97949996784309e-08,9.96372415663927e-08,-4.9631933423731e-08
0.00255,0.0860001244290925,-0.1720002508119,0.0860001247402632
0.0026,-5.90829218653337e-08,1.15609789189498e-07,-5.84037430824673e-08
0.00265,0.0954777631182409,-0.190955528405576,0.0954777634637751
0.0027,-6.66255138930539e-08,1.33309386482766e-07,-6.64233989122315e-08
0.00275,0.105524733848812,-0.211049469807113,0.105524734230773
0.0028,-7.80083894976034e-08,1.53168095439809e-07,-7.7174855067824e-08
0.00285,0.116139329677003,-0.232278661675747,0.116139330097449
0.0029,-8.7152308053387e-08,1.74375471353265e-07,-8.69063134019468e-08
0.00295,0.127317688008898,-0.254635376478758,0.127317686385567
0.003,-9.98235174993324e-08,1.98293883607163e-07,-1.00901720977709e-07
0.00305,0.13905377570794,-0.278107551919389,0.139053773935028
0.0031,-1.11774429532114e-07,2.23633574743078e-07,-1.11479772163546e-07
0.00315,0.151339390621277,-0.302678783029392,0.15133938993057
0.0032,-1.27220884440377e-07,2.51594534434438e-07,-1.27263778947637e-07
0.00325,0.164164162084625,-0.328328326107557,0.164164161335438
0.0033,-1.40876936559236e-07,2.81853778364337e-07,-1.40528952077589e-07
0.00335,0.177515558591423,-0.355031121216236,0.1775155582657
